datetime,cloud_loss,temperature_loss,soiling_loss,shading_loss,system_loss,spectral_loss,degradation_loss,reflection_loss,curtailment_loss,other_loss
2024-10-01 08:30:00,0.07847742257609623,0.05995916894233813,2.33418539719617e-06,0.04991554917635933,0.0,0.005209731005009497,1.5917620510377852e-05,0.0030760395919391293,0.0,0.021851174396852274
2024-10-01 08:45:00,0.05383164930812782,0.0829174201108368,2.928019369029374e-06,0.06903311474022601,0.0,0.00713778969181686,2.249555457117112e-05,0.004151523257022837,0.0,0.0241224942439405
2024-10-01 09:00:00,0.08459395573167881,0.06424970734501399,2.451422467291042e-06,0.05366735922525475,0.0,0.005392247548650231,2.330791903313007e-05,2.483367167111774e-06,0.0,0.02310401559481859
2024-10-01 09:15:00,0.0,0.08846611319950316,0.008271933303009262,0.07360768958168927,0.0,0.007201777650537463,5.221629218382501e-05,6.6915373356851775e-06,0.0,0.01973487719158784
2024-10-01 09:30:00,0.0,0.10797081262634965,4.095561707685034e-06,0.09020377989375598,0.0,0.009090871403390259,6.654229535932702e-05,3.091186242880634e-06,0.0,0.023038547174015545
2024-10-01 09:45:00,0.0,0.12122214876058345,4.146206034148757e-06,0.1008699285911222,0.0,0.010052610635329222,6.314749108161058e-05,3.751292802080574e-07,0.0,0.025802242668788805
2024-10-01 10:00:00,1.9438468609171e-06,0.1550742359092403,4.118843288990918e-06,0.12909370248125662,0.0,0.011125323999997338,7.581384798735773e-05,2.2979709891818105e-06,0.0,0.03282057916110137
2024-10-01 10:15:00,1.9639138905590326e-06,0.1950150423607206,0.004475946649045813,0.1616827522652189,0.0,0.012366398683801034,6.678024340786626e-05,2.321693769449828e-06,0.0,0.04151322906999394
2024-10-01 10:30:00,2.011062217413553e-06,0.4496352543458278,4.261266812977746e-06,0.3742608114266344,0.0,0.013186198387887812,6.848092838124942e-05,5.7743947395798565e-06,0.0,0.09301898180331647
2024-10-01 10:45:00,5.067646374021439e-06,0.5223747666700909,0.004568089314535872,0.43476794838046345,0.0,0.013159455030404497,7.812067432429111e-05,6.88458131442255e-06,0.0,0.10832981542606623
2024-10-01 11:00:00,6.329385996650672e-06,0.6834783918137333,5.297172720020171e-06,0.5692565991985923,0.0,5.8768793678609654e-05,8.929082105169073e-05,9.564928404870443e-06,0.0,0.0
2024-10-01 11:15:00,5.1170763742485285e-06,0.5518573434534216,0.011019230173840669,0.460005398731824,0.0,4.6796064649668144e-05,7.218835303813708e-05,7.732893710044104e-06,0.0,0.11366909904222111
2024-10-01 11:30:00,2.034990002136977e-06,0.392987418243359,0.011051680528821143,0.32771554278072057,0.0,0.0,6.173313138141909e-05,4.817568493780038e-06,0.0,0.08131459637480776
2024-10-01 11:45:00,2.499947640899336e-06,0.47828001642778106,0.00010912982987078024,0.3991292403270297,0.0,0.0,7.583801198052242e-05,5.918293936701957e-06,0.0,0.0
2024-10-01 12:00:00,2.021089580492505e-06,0.37906452006151803,0.0072379708854931665,0.31586388551829364,0.0,0.0,6.131145041260146e-05,5.629461031847408e-06,0.0,0.07802704699933005
2024-10-01 12:15:00,2.0420811169332567e-06,0.3458260547142679,4.326993176863395e-06,0.28846696774865255,0.0,0.0,6.19482463062589e-05,5.544124402198161e-06,0.0,0.07048611693371865
2024-10-01 12:30:00,2.0115296509847185e-06,0.2834313354360234,0.01125352734750986,0.23667892224670545,0.0,3.6351383271211803e-06,6.772809437914995e-05,6.332950832704142e-06,0.0,0.05905017100339449
2024-10-01 12:45:00,2.499947640899336e-06,0.21960508322618366,5.297172720020171e-06,0.18332416729150894,0.0,0.0,8.103756121161405e-05,3.998120064352406e-06,0.0,0.0
