datetime,Zone,INVERTER,String,String Input,CloudCover,Shading,Temperature Effect,Soiling,System Loss,Spectral Mismatch,Degradation,Reflection Loss,Curtailment,Other Loss
2024-10-01 08:30:00,PLANT,ALL,ALL,ALL,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM03,INV-03,ALL,ALL,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM03,INV-03,1,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM03,INV-03,2,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM03,INV-03,3,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM08,INV-08,ALL,ALL,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM08,INV-08,1,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM08,INV-08,2,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:30:00,EM08,INV-08,3,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,PLANT,ALL,ALL,ALL,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM03,INV-03,ALL,ALL,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM03,INV-03,1,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM03,INV-03,2,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM03,INV-03,3,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM08,INV-08,ALL,ALL,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM08,INV-08,1,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM08,INV-08,2,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 08:45:00,EM08,INV-08,3,1,1,1,1,0,0,0,0,0,0,0
2024-10-01 09:00:00,PLANT,ALL,ALL,ALL,1,0,0,0,0,0,0,0,0,0
2024-10-01 09:00:00,EM03,INV-03,ALL,ALL,1,0,0,0,0,0,0,0,0,0
2024-10-01 09:00:00,EM03,INV-03,1,1,1,0,0,0,0,0,0,0,0,0
2024-10-01 09:00:00,EM03,INV-03,2,1,1,0,0,0,0,0,0,0,0,0
2024-10-01 09:00:00,EM03,INV-03,3,1,1,0,0,0,0,0,0,0,0,0
2024-10-01 09:00:00,EM08,INV-08,ALL,ALL,1,0,0,0,0,0,0,0,0,0
2024-10-01 09:00:00,EM08,INV-08,1,1,1,0,0,0,0,0,0,0,0,0
2024-10-01 09:00:00,EM08,INV-08,2,1,1,0,0,0,0,0,0,0,0,0
